suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,house_gross_yield_pct,house_price_growth_12m_pct,source_url
Abbotsford,3067,1271000,850,3.6,2.3,https://www.realestate.com.au/vic/abbotsford-3067/
Aberfeldie,3040,1828000,730,2.2,-7.2,https://www.realestate.com.au/vic/aberfeldie-3040/
Aintree,3336,710000,530,3.9,3.7,https://www.realestate.com.au/vic/aintree-3336/
Airport West,3042,1010000,610,3.6,7.5,https://www.realestate.com.au/vic/airport-west-3042/
Albanvale,3021,665000,478,3.8,8.7,https://www.realestate.com.au/vic/albanvale-3021/
Albert Park,3206,2412500,993,2.7,2.9,https://www.realestate.com.au/vic/albert-park-3206/
Albion,3020,795000,510,3.3,8.2,https://www.realestate.com.au/vic/albion-3020/
Alphington,3078,1741500,868,2.8,-2.2,https://www.realestate.com.au/vic/alphington-3078/
Altona,3018,1173000,650,3,-0.9,https://www.realestate.com.au/vic/altona-3018/
Altona Meadows,3028,775000,530,3.7,8.4,https://www.realestate.com.au/vic/altona-meadows-3028/
Altona North,3025,960000,680,3.5,3.2,https://www.realestate.com.au/vic/altona-north-3025/
Ardeer,3022,705000,500,3.2,4.4,https://www.realestate.com.au/vic/ardeer-3022/
Armadale,3143,2253750,1050,2.9,-11.6,https://www.realestate.com.au/vic/armadale-3143/
Ascot Vale,3032,1312500,713,3.1,2.9,https://www.realestate.com.au/vic/ascot-vale-3032/
Ashburton,3147,1980000,895,2.5,6.3,https://www.realestate.com.au/vic/ashburton-3147/
Ashwood,3147,1480000,688,2.7,2.6,https://www.realestate.com.au/vic/ashwood-3147/
Aspendale,3195,1433750,800,2.9,11.5,https://www.realestate.com.au/vic/aspendale-3195/
Aspendale Gardens,3195,1310000,820,3.4,7.4,https://www.realestate.com.au/vic/aspendale-gardens-3195/
Attwood,3049,900000,560,3.7,12.5,https://www.realestate.com.au/vic/attwood-3049/
Avondale Heights,3034,1020000,600,3.2,4.1,https://www.realestate.com.au/vic/avondale-heights-3034/
Balaclava,3183,1400000,900,3.1,3.6,https://www.realestate.com.au/vic/balaclava-3183/
Bayswater,3153,971000,625,3.7,10.6,https://www.realestate.com.au/vic/bayswater-3153/
Bayswater North,3153,921250,600,3.7,1.8,https://www.realestate.com.au/vic/bayswater-north-3153/
Beaconsfield,3807,1012000,605,3.4,4.3,https://www.realestate.com.au/vic/beaconsfield-3807/
Beaumaris,3193,2100000,1111,3.2,5,https://www.realestate.com.au/vic/beaumaris-3193/
Bellfield,3081,1020000,610,3.2,-0.2,https://www.realestate.com.au/vic/bellfield-3081/
Bentleigh,3204,1735000,920,2.8,6.5,https://www.realestate.com.au/vic/bentleigh-3204/
Bentleigh East,3165,1550000,900,3.1,3.3,https://www.realestate.com.au/vic/bentleigh-east-3165/
Berwick,3806,920000,620,3.5,5.8,https://www.realestate.com.au/vic/berwick-3806/
Black Rock,3193,2315000,1250,2.9,-2.8,https://www.realestate.com.au/vic/black-rock-3193/
Blackburn,3130,1620000,695,2.5,8,https://www.realestate.com.au/vic/blackburn-3130/
Blackburn North,3130,1432000,710,2.7,12.5,https://www.realestate.com.au/vic/blackburn-north-3130/
Blackburn South,3130,1370000,650,2.8,0.4,https://www.realestate.com.au/vic/blackburn-south-3130/
Blairgowrie,3942,1450000,673,3.1,3.6,https://www.realestate.com.au/vic/blairgowrie-3942/
Bonbeach,3196,1242500,775,3.4,20.3,https://www.realestate.com.au/vic/bonbeach-3196/
Bonnie Brook,3335,681500,500,4,0.4,https://www.realestate.com.au/vic/bonnie-brook-3335/
Boronia,3155,894500,620,3.8,5.2,https://www.realestate.com.au/vic/boronia-3155/
Botanic Ridge,3977,972500,650,3.8,8.1,https://www.realestate.com.au/vic/botanic-ridge-3977/
Box Hill,3128,1660500,655,2.5,-2.2,https://www.realestate.com.au/vic/box-hill-3128/
Box Hill North,3129,1395000,698,2.9,5.4,https://www.realestate.com.au/vic/box-hill-north-3129/
Box Hill South,3128,1519000,720,2.7,7.6,https://www.realestate.com.au/vic/box-hill-south-3128/
Braeside,3195,,,,,https://www.realestate.com.au/vic/braeside-3195/
Braybrook,3019,760000,600,3.6,1.5,https://www.realestate.com.au/vic/braybrook-3019/
Briar Hill,3088,986500,725,3.3,-0.9,https://www.realestate.com.au/vic/briar-hill-3088/
Brighton,3186,3250000,1400,2.4,2,https://www.realestate.com.au/vic/brighton-3186/
Brighton East,3187,2147500,1200,3.1,4.5,https://www.realestate.com.au/vic/brighton-east-3187/
Broadmeadows,3047,650000,510,4.1,9.8,https://www.realestate.com.au/vic/broadmeadows-3047/
Brookfield,3338,620000,450,3.7,12.7,https://www.realestate.com.au/vic/brookfield-3338/
Brooklyn,3012,872500,580,3.4,7.7,https://www.realestate.com.au/vic/brooklyn-3012/
Brunswick,3056,1300000,800,3.4,3.2,https://www.realestate.com.au/vic/brunswick-3056/
Brunswick East,3057,1369500,830,3.5,0.5,https://www.realestate.com.au/vic/brunswick-east-3057/
Brunswick West,3055,1310000,770,3.6,-0.8,https://www.realestate.com.au/vic/brunswick-west-3055/
Bulleen,3105,1370000,750,3.2,5,https://www.realestate.com.au/vic/bulleen-3105/
Bundoora,3083,895000,600,3.8,5.4,https://www.realestate.com.au/vic/bundoora-3083/
Burnley,3121,1425000,900,3.4,21.8,https://www.realestate.com.au/vic/burnley-3121/
Burnside,3023,825000,570,3.5,4.7,https://www.realestate.com.au/vic/burnside-3023/
Burnside Heights,3023,795000,560,3.6,7.8,https://www.realestate.com.au/vic/burnside-heights-3023/
Cairnlea,3023,930500,600,3.7,7,https://www.realestate.com.au/vic/cairnlea-3023/
Calder Park,3037,,,,,https://www.realestate.com.au/vic/calder-park-3037/
Camberwell,3124,2550000,1100,2.5,-1.9,https://www.realestate.com.au/vic/camberwell-3124/
Campbellfield,3061,700000,530,4.1,9.4,https://www.realestate.com.au/vic/campbellfield-3061/
Canterbury,3126,3421500,1200,2,-2.2,https://www.realestate.com.au/vic/canterbury-3126/
Capel Sound,3940,752500,575,4,3.1,https://www.realestate.com.au/vic/capel-sound-3940/
Carlton,3053,1450000,866,3.4,6.6,https://www.realestate.com.au/vic/carlton-3053/
Carlton North,3054,1600500,850,3.1,-2.9,https://www.realestate.com.au/vic/carlton-north-3054/
Carnegie,3163,1673000,835,3,0.1,https://www.realestate.com.au/vic/carnegie-3163/
Caroline Springs,3023,796600,550,3.6,7.7,https://www.realestate.com.au/vic/caroline-springs-3023/
Carrum,3197,1100000,735,3.6,18.3,https://www.realestate.com.au/vic/carrum-3197/
Carrum Downs,3201,802450,600,4.1,12.2,https://www.realestate.com.au/vic/carrum-downs-3201/
Caulfield,3162,1930000,998,2.8,-12.3,https://www.realestate.com.au/vic/caulfield-3162/
Caulfield East,3145,1663000,780,3,3.1,https://www.realestate.com.au/vic/caulfield-east-3145/
Caulfield North,3161,2107500,955,2.8,-5.5,https://www.realestate.com.au/vic/caulfield-north-3161/
Caulfield South,3162,1900000,1000,3,7.7,https://www.realestate.com.au/vic/caulfield-south-3162/
Chadstone,3148,1335000,673,2.9,11.3,https://www.realestate.com.au/vic/chadstone-3148/
Chelsea,3196,1082000,680,3.4,13.9,https://www.realestate.com.au/vic/chelsea-3196/
Chelsea Heights,3196,1020000,640,3.4,7.4,https://www.realestate.com.au/vic/chelsea-heights-3196/
Cheltenham,3192,1294500,750,3.3,7.7,https://www.realestate.com.au/vic/cheltenham-3192/
Chirnside Park,3116,950000,675,3.9,11.8,https://www.realestate.com.au/vic/chirnside-park-3116/
Clarinda,3169,1110000,650,3.5,7.5,https://www.realestate.com.au/vic/clarinda-3169/
Clayton,3168,1310000,650,2.9,3.2,https://www.realestate.com.au/vic/clayton-3168/
Clayton South,3169,985000,680,3.3,3.7,https://www.realestate.com.au/vic/clayton-south-3169/
Clifton Hill,3068,1605000,850,3.2,4.9,https://www.realestate.com.au/vic/clifton-hill-3068/
Clyde,3978,720000,590,4.3,4.4,https://www.realestate.com.au/vic/clyde-3978/
Clyde North,3978,750000,600,4.2,3.5,https://www.realestate.com.au/vic/clyde-north-3978/
Cobblebank,3338,630000,450,3.9,0,https://www.realestate.com.au/vic/cobblebank-3338/
Coburg,3058,1225000,745,3.3,6.5,https://www.realestate.com.au/vic/coburg-3058/
Coburg North,3058,995000,670,3.5,1.8,https://www.realestate.com.au/vic/coburg-north-3058/
Collingwood,3066,1328000,800,3.5,14.9,https://www.realestate.com.au/vic/collingwood-3066/
Coolaroo,3048,633500,495,4.3,13.1,https://www.realestate.com.au/vic/coolaroo-3048/
Cranbourne,3977,720000,550,4,9.1,https://www.realestate.com.au/vic/cranbourne-3977/
Cranbourne East,3977,749500,590,4.1,6,https://www.realestate.com.au/vic/cranbourne-east-3977/
Cranbourne North,3977,775000,590,4,7.6,https://www.realestate.com.au/vic/cranbourne-north-3977/
Cranbourne South,3977,821000,635,3.7,4.3,https://www.realestate.com.au/vic/cranbourne-south-3977/
Cranbourne West,3977,725000,580,4.2,5.5,https://www.realestate.com.au/vic/cranbourne-west-3977/
Cremorne,3121,1270000,810,3.5,-1.6,https://www.realestate.com.au/vic/cremorne-3121/
Croydon,3136,966000,650,3.6,9.5,https://www.realestate.com.au/vic/croydon-3136/
Croydon Hills,3136,1178500,750,3.8,5,https://www.realestate.com.au/vic/croydon-hills-3136/
Croydon North,3136,1135000,700,3.8,14.8,https://www.realestate.com.au/vic/croydon-north-3136/
Croydon South,3136,955000,635,3.7,6.1,https://www.realestate.com.au/vic/croydon-south-3136/
Dallas,3047,620000,500,4.2,12,https://www.realestate.com.au/vic/dallas-3047/
Dandenong,3175,763000,560,3.8,5.2,https://www.realestate.com.au/vic/dandenong-3175/
Dandenong North,3175,810000,550,3.9,6.6,https://www.realestate.com.au/vic/dandenong-north-3175/
Dandenong South,3175,,,,,https://www.realestate.com.au/vic/dandenong-south-3175/
Deer Park,3023,708000,500,3.7,5.7,https://www.realestate.com.au/vic/deer-park-3023/
Delahey,3037,748500,500,3.8,14,https://www.realestate.com.au/vic/delahey-3037/
Derrimut,3026,833500,600,3.8,11.9,https://www.realestate.com.au/vic/derrimut-3026/
Diamond Creek,3089,1091000,675,3.8,2.2,https://www.realestate.com.au/vic/diamond-creek-3089/
Diggers Rest,3427,670000,508,3.9,4.5,https://www.realestate.com.au/vic/diggers-rest-3427/
Dingley Village,3172,1206000,700,3.5,9.4,https://www.realestate.com.au/vic/dingley-village-3172/
Docklands,3008,1367500,1125,3.1,-18.6,https://www.realestate.com.au/vic/docklands-3008/
Doncaster,3108,1530000,820,3.1,4.7,https://www.realestate.com.au/vic/doncaster-3108/
Doncaster East,3109,1626500,800,2.8,3.6,https://www.realestate.com.au/vic/doncaster-east-3109/
Donnybrook,3064,657000,500,3.9,0.8,https://www.realestate.com.au/vic/donnybrook-3064/
Donvale,3111,1640000,800,3.2,4.5,https://www.realestate.com.au/vic/donvale-3111/
Doreen,3754,810000,560,3.7,6.6,https://www.realestate.com.au/vic/doreen-3754/
Doveton,3177,642000,528,4.1,5.8,https://www.realestate.com.au/vic/doveton-3177/
Dromana,3936,985000,650,3.3,1.8,https://www.realestate.com.au/vic/dromana-3936/
Eaglemont,3084,2382500,870,2.5,-4.7,https://www.realestate.com.au/vic/eaglemont-3084/
East Melbourne,3002,3050000,1175,2.5,-21.8,https://www.realestate.com.au/vic/east-melbourne-3002/
Edithvale,3196,1331000,788,2.9,4.2,https://www.realestate.com.au/vic/edithvale-3196/
Elsternwick,3185,2015000,960,2.7,3.3,https://www.realestate.com.au/vic/elsternwick-3185/
Eltham,3095,1300000,750,3.4,5.3,https://www.realestate.com.au/vic/eltham-3095/
Eltham North,3095,1300000,780,3.5,4,https://www.realestate.com.au/vic/eltham-north-3095/
Endeavour Hills,3802,857000,600,3.9,7.1,https://www.realestate.com.au/vic/endeavour-hills-3802/
Epping,3076,732500,550,3.8,10.4,https://www.realestate.com.au/vic/epping-3076/
Eumemmerring,3177,726000,590,4.1,15.7,https://www.realestate.com.au/vic/eumemmerring-3177/
Fairfield,3078,1730000,815,2.7,5,https://www.realestate.com.au/vic/fairfield-3078/
Fawkner,3060,844000,575,3.8,8.8,https://www.realestate.com.au/vic/fawkner-3060/
Ferntree Gully,3156,950000,630,3.5,9.2,https://www.realestate.com.au/vic/ferntree-gully-3156/
Fitzroy,3065,1525000,965,3.6,-13.6,https://www.realestate.com.au/vic/fitzroy-3065/
Fitzroy North,3068,1697950,873,3,12.9,https://www.realestate.com.au/vic/fitzroy-north-3068/
Flemington,3031,1150000,680,3.4,9,https://www.realestate.com.au/vic/flemington-3031/
Footscray,3011,902250,628,3.7,-4.5,https://www.realestate.com.au/vic/footscray-3011/
Forest Hill,3131,1239000,651,3.1,4.6,https://www.realestate.com.au/vic/forest-hill-3131/
Frankston,3199,850000,595,3.8,14.9,https://www.realestate.com.au/vic/frankston-3199/
Frankston North,3200,703000,500,3.9,15.3,https://www.realestate.com.au/vic/frankston-north-3200/
Frankston South,3199,1225000,700,3.4,5.8,https://www.realestate.com.au/vic/frankston-south-3199/
Gardenvale,3185,2130000,1100,2.8,16.1,https://www.realestate.com.au/vic/gardenvale-3185/
Gladstone Park,3043,807500,550,3.9,9.4,https://www.realestate.com.au/vic/gladstone-park-3043/
Glen Huntly,3163,1830000,895,2.8,21.2,https://www.realestate.com.au/vic/glen-huntly-3163/
Glen Iris,3146,2600000,1050,2.5,13.4,https://www.realestate.com.au/vic/glen-iris-3146/
Glen Waverley,3150,1785000,780,2.2,7.9,https://www.realestate.com.au/vic/glen-waverley-3150/
Glenroy,3046,857500,575,3.6,4.6,https://www.realestate.com.au/vic/glenroy-3046/
