rank_alphabetical,suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,house_gross_yield_pct,house_price_growth_12m_pct,house_price_growth_3m_pct,house_price_growth_6m_pct,data_period,source_url,data_status,notes
201,Mambourin,3024,645500,450,3.7,3.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mambourin-3024/,ok,3-month and 6-month house growth not shown by source.
202,Manor Lakes,3024,659125,465,3.8,3.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/manor-lakes-3024/,ok,3-month and 6-month house growth not shown by source.
203,McCrae,3938,1230000,715,3.3,1.4,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mccrae-3938/,ok,3-month and 6-month house growth not shown by source.
204,McKinnon,3204,1856000,1070,2.7,3.4,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mckinnon-3204/,ok,3-month and 6-month house growth not shown by source.
205,Meadow Heights,3048,680000,520,4.2,13.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/meadow-heights-3048/,ok,3-month and 6-month house growth not shown by source.
206,Melbourne,3000,465000,650,2.3,-57.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/melbourne-3000/,ok,Very low house sample / CBD unit-dominant suburb; use carefully.
207,Melbourne Airport,3045,,,,,,,,https://www.realestate.com.au/vic/melbourne-airport-3045/,source_no_usable_house_summary,Source did not show usable house median/rent/growth values.
208,Melton,3337,548000,410,3.9,14.8,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/melton-3337/,ok,3-month and 6-month house growth not shown by source.
209,Melton South,3338,580000,420,3.8,11.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/melton-south-3338/,ok,3-month and 6-month house growth not shown by source.
210,Melton West,3337,610000,430,3.7,12.6,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/melton-west-3337/,ok,3-month and 6-month house growth not shown by source.
211,Mentone,3194,1365000,795,3.3,3.0,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mentone-3194/,ok,3-month and 6-month house growth not shown by source.
212,Mernda,3754,736900,550,3.8,5.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mernda-3754/,ok,3-month and 6-month house growth not shown by source.
213,Mickleham,3064,705000,530,4.0,4.4,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mickleham-3064/,ok,3-month and 6-month house growth not shown by source.
214,Middle Park,3206,3202500,1100,2.4,22.2,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/middle-park-3206/,ok,3-month and 6-month house growth not shown by source.
215,Mill Park,3082,858000,560,3.6,8.6,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mill-park-3082/,ok,3-month and 6-month house growth not shown by source.
216,Mitcham,3132,1250000,650,3.0,8.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mitcham-3132/,ok,3-month and 6-month house growth not shown by source.
217,Mont Albert,3127,2417500,750,2.5,-0.4,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mont-albert-3127/,ok,3-month and 6-month house growth not shown by source.
218,Mont Albert North,3129,1780000,850,2.7,12.0,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/mont-albert-north-3129/,ok,3-month and 6-month house growth not shown by source.
219,Montmorency,3094,1180000,695,3.1,4.9,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/montmorency-3094/,ok,3-month and 6-month house growth not shown by source.
220,Montrose,3765,1000000,665,3.7,6.2,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/montrose-3765/,ok,3-month and 6-month house growth not shown by source.
221,Moonee Ponds,3039,1565000,750,3.2,4.3,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/moonee-ponds-3039/,ok,3-month and 6-month house growth not shown by source.
