suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,sales_price_growth_pct_yoy,rental_price_growth_pct_yoy,source_url
Alexander Heights,6064,890000,760,16.6,1.3,https://reiwa.com.au/suburb/alexander-heights/
Alfred Cove,6154,1595000,840,14.2,12,https://reiwa.com.au/suburb/alfred-cove/
Alkimos,6038,830000,720,17.7,5.9,https://reiwa.com.au/suburb/alkimos/
Anketell,6167,771000,700,14.2,0,https://reiwa.com.au/suburb/anketell/
Applecross,6153,2750000,1000,0.4,0,https://reiwa.com.au/suburb/applecross/
Ardross,6153,1860000,1000,12.7,-9.1,https://reiwa.com.au/suburb/ardross/
Armadale,6112,650000,615,15,6,https://reiwa.com.au/suburb/armadale/
Ascot,6104,1300000,800,27.1,12.7,https://reiwa.com.au/suburb/ascot/
Ashby,6065,890000,695,21.5,3.7,https://reiwa.com.au/suburb/ashby/
Ashendon,6111,,,,,https://reiwa.com.au/suburb/ashendon/
Ashfield,6054,818000,730,1,21.7,https://reiwa.com.au/suburb/ashfield/
Attadale,6156,2200000,950,18.9,-13.6,https://reiwa.com.au/suburb/attadale/
Atwell,6164,965000,750,10.9,7.1,https://reiwa.com.au/suburb/atwell/
Aubin Grove,6164,940000,760,10.8,9.4,https://reiwa.com.au/suburb/aubin-grove/
Aveley,6069,830000,780,12.2,13.9,https://reiwa.com.au/suburb/aveley/
Bailup,6082,,,,,https://reiwa.com.au/suburb/bailup/
Balcatta,6021,960000,750,20,8.7,https://reiwa.com.au/suburb/balcatta/
Baldivis,6171,810000,680,14.9,4.6,https://reiwa.com.au/suburb/baldivis/
Balga,6061,735000,700,18.5,7.7,https://reiwa.com.au/suburb/balga/
Ballajura,6066,880501,750,17.4,11.9,https://reiwa.com.au/suburb/ballajura/
Banjup,6164,,950,,29.3,https://reiwa.com.au/suburb/banjup/
Banksia Grove,6031,800000,730,16.8,7.4,https://reiwa.com.au/suburb/banksia-grove/
Baskerville,6056,,700,,1.4,https://reiwa.com.au/suburb/baskerville/
Bassendean,6054,950000,737,15.9,5.3,https://reiwa.com.au/suburb/bassendean/
Bateman,6150,1525000,800,21.6,1.3,https://reiwa.com.au/suburb/bateman/
Bayswater,6053,1200000,790,24.4,8.2,https://reiwa.com.au/suburb/bayswater/
Beaconsfield,6162,1330000,850,10.8,4.9,https://reiwa.com.au/suburb/beaconsfield/
Beckenham,6107,813000,700,17,7.7,https://reiwa.com.au/suburb/beckenham/
Bedford,6052,1175000,775,19,3.3,https://reiwa.com.au/suburb/bedford/
Bedfordale,6112,1405000,,16.8,,https://reiwa.com.au/suburb/bedfordale/
Beechboro,6063,831500,730,17.9,9,https://reiwa.com.au/suburb/beechboro/
Beechina,6556,,,,,https://reiwa.com.au/suburb/beechina/
Beeliar,6164,996000,730,20,7.4,https://reiwa.com.au/suburb/beeliar/
Beldon,6027,955000,750,10.7,12.8,https://reiwa.com.au/suburb/beldon/
Belhus,6069,,,,,https://reiwa.com.au/suburb/belhus/
Bellevue,6056,758500,830,23.2,59.6,https://reiwa.com.au/suburb/bellevue/
Belmont,6104,886500,790,21.3,6.8,https://reiwa.com.au/suburb/belmont/
Bennett Springs,6063,920000,850,16.8,7.6,https://reiwa.com.au/suburb/bennett-springs/
Bentley,6102,806000,780,15.1,11.4,https://reiwa.com.au/suburb/bentley/
Bertram,6167,762500,690,12.1,6.2,https://reiwa.com.au/suburb/bertram/
Bibra Lake,6163,1037000,625,15.2,-21.9,https://reiwa.com.au/suburb/bibra-lake/
Bickley,6076,830000,,-34.6,,https://reiwa.com.au/suburb/bickley/
Bicton,6157,1980000,900,19.6,0,https://reiwa.com.au/suburb/bicton/
Booragoon,6154,1620000,870,17.4,2.7,https://reiwa.com.au/suburb/booragoon/
Boya,6056,1025000,700,6.8,-22.2,https://reiwa.com.au/suburb/boya/
Brabham,6055,843000,760,17.1,1.3,https://reiwa.com.au/suburb/brabham/
Brentwood,6153,1490000,800,46.8,12.7,https://reiwa.com.au/suburb/brentwood/
Brigadoon,6069,,,,,https://reiwa.com.au/suburb/brigadoon/
Brookdale,6112,700000,650,16.7,8.3,https://reiwa.com.au/suburb/brookdale/
Bull Creek,6149,1500000,800,13.6,0.6,https://reiwa.com.au/suburb/bull-creek/
Bullsbrook,6084,767500,775,20.9,10.7,https://reiwa.com.au/suburb/bullsbrook/
Burns Beach,6028,1680000,1350,18,-10,https://reiwa.com.au/suburb/burns-beach/
Burswood,6100,1380000,880,-8.5,3.5,https://reiwa.com.au/suburb/burswood/
Bushmead,6055,1130000,1000,15.3,8.1,https://reiwa.com.au/suburb/bushmead/
Butler,6036,781000,675,15.6,9.4,https://reiwa.com.au/suburb/butler/
Byford,6122,820000,690,19.7,6.2,https://reiwa.com.au/suburb/byford/
Calista,6167,661000,562,13.4,8.1,https://reiwa.com.au/suburb/calista/
Camillo,6111,690000,615,16.7,4.2,https://reiwa.com.au/suburb/camillo/
Canning Mills,6111,,,,,https://reiwa.com.au/suburb/canning-mills/
Canning Vale,6155,1100000,840,17.6,7.7,https://reiwa.com.au/suburb/canning-vale/
Cannington,6107,771000,780,26.3,11.4,https://reiwa.com.au/suburb/cannington/
Carabooda,6033,,,,,https://reiwa.com.au/suburb/carabooda/
Cardup,6122,1700000,,28.8,,https://reiwa.com.au/suburb/cardup/
Carine,6020,1630000,965,20.9,4.9,https://reiwa.com.au/suburb/carine/
Carlisle,6101,971000,790,20.9,6.8,https://reiwa.com.au/suburb/carlisle/
Carmel,6076,,,,,https://reiwa.com.au/suburb/carmel/
Carramar,6031,1000000,875,13.3,12.2,https://reiwa.com.au/suburb/carramar/
Casuarina,6167,1450000,800,38.8,,https://reiwa.com.au/suburb/casuarina/
Caversham,6055,890000,850,12.3,13.3,https://reiwa.com.au/suburb/caversham/
Champion Lakes,6111,823000,760,14.2,11.8,https://reiwa.com.au/suburb/champion-lakes/
Chidlow,6556,950000,,36.5,,https://reiwa.com.au/suburb/chidlow/
