rank_alphabetical_continuing_from_first_100,suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,sales_price_growth_pct_yoy,rental_price_growth_pct_yoy,source_url,data_status,notes
101,East Perth,6004,1720000,900,7.2,9.1,https://reiwa.com.au/suburb/east-perth/,verified_REIWA_quick_stats_rounded,Price converted from rounded REIWA quick-stat display (e.g. $1.72M).
102,East Rockingham,6168,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/east-rockingham/,verified_REIWA_NA,"REIWA quick stats showed insufficient/NA house data, or page did not return usable values."
103,East Victoria Park,6101,1180000,735,17.4,0.0,https://reiwa.com.au/suburb/east-victoria-park/,verified_REIWA_quick_stats_rounded,Price converted from rounded REIWA quick-stat display (e.g. $1.72M).
104,Eden Hill,6054,880000,800,21.2,23.1,https://reiwa.com.au/suburb/eden-hill/,verified_REIWA_quick_stats,
105,Edgewater,6027,1030000,780,16.2,12.2,https://reiwa.com.au/suburb/edgewater/,verified_REIWA_quick_stats_rounded,Price converted from rounded REIWA quick-stat display (e.g. $1.72M).
106,Eglinton,6034,790000,680,12.9,4.6,https://reiwa.com.au/suburb/eglinton/,verified_REIWA_quick_stats,
107,Ellenbrook,6069,800000,750,16.8,5.6,https://reiwa.com.au/suburb/ellenbrook/,verified_REIWA_quick_stats,
108,Embleton,6062,982000,765,18.3,7.0,https://reiwa.com.au/suburb/embleton/,verified_REIWA_quick_stats,
109,Ferndale,6148,813000,660,10.9,-5.0,https://reiwa.com.au/suburb/ferndale/,verified_REIWA_quick_stats,
110,Floreat,6014,2380000,910,11.0,-24.2,https://reiwa.com.au/suburb/floreat/,verified_REIWA_quick_stats_rounded,Price converted from rounded REIWA quick-stat display (e.g. $1.72M).
111,Forrestdale,6112,880000,750,11.7,1.4,https://reiwa.com.au/suburb/forrestdale/,verified_REIWA_quick_stats,
112,Forrestfield,6058,835000,750,19.3,15.4,https://reiwa.com.au/suburb/forrestfield/,verified_REIWA_quick_stats,
113,Fremantle,6160,1580000,887,17.3,7.5,https://reiwa.com.au/suburb/fremantle/,verified_REIWA_quick_stats_rounded,Price converted from rounded REIWA quick-stat display (e.g. $1.72M).
114,Gidgegannup,6083,1130000,1250,55.9,27.6,https://reiwa.com.au/suburb/gidgegannup/,verified_REIWA_quick_stats_rounded; small/sample-sensitive,Price converted from rounded REIWA quick-stat display (e.g. $1.72M).
115,Girrawheen,6064,757000,650,16.5,0.0,https://reiwa.com.au/suburb/girrawheen/,verified_REIWA_quick_stats,
116,Glen Forrest,6071,1167500,750,25.5,-5.9,https://reiwa.com.au/suburb/glen-forrest/,verified_REIWA_detailed_price_visible,
