suburb_number_alphabetical,suburb,postcode,sales_price_growth_pct_yoy,median_house_price_aud,rental_price_growth_pct_yoy,median_house_rent_per_week_aud,source_url,data_status,notes,source_methodology_note
196,Maddington,6109,17.9,725000,9.5,690,https://reiwa.com.au/suburb/maddington/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
197,Madeley,6065,21.6,1130000,6.7,800,https://reiwa.com.au/suburb/madeley/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
198,Mahogany Creek,6072,-8.2,873000,,,https://reiwa.com.au/suburb/mahogany-creek/,verified_REIWA_quick_stats,REIWA quick stats showed insufficient/NA house rental data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
199,Maida Vale,6057,16.9,938000,21.4,850,https://reiwa.com.au/suburb/maida-vale/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
200,Malaga,6090,,,,,https://reiwa.com.au/suburb/malaga/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
201,Mandogalup,6167,17.4,960000,5.4,780,https://reiwa.com.au/suburb/mandogalup/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
202,Manning,6152,19.6,1560000,9.1,900,https://reiwa.com.au/suburb/manning/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
203,Marangaroo,6064,20.4,915000,11.9,750,https://reiwa.com.au/suburb/marangaroo/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
204,Mardella,6125,,,,,https://reiwa.com.au/suburb/mardella/,verified_REIWA_NA,REIWA quick stats showed insufficient/NA house data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
205,Mariginiup,6078,,,,1395,https://reiwa.com.au/suburb/mariginiup/,verified_REIWA_quick_stats,REIWA quick stats showed NA sales data but a median rental price was displayed.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
206,Marmion,6020,37.1,2300000,,1500,https://reiwa.com.au/suburb/marmion/,verified_REIWA_quick_stats,REIWA quick stats; rental growth was N/A but median rental price was displayed.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
207,Martin,6110,3.7,778000,-5.6,670,https://reiwa.com.au/suburb/martin/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
208,Maylands,6051,30.6,1210000,-1.3,740,https://reiwa.com.au/suburb/maylands/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
209,Medina,6167,19.7,655000,-0.9,550,https://reiwa.com.au/suburb/medina/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
210,Melaleuca,,,,,,https://reiwa.com.au/suburb/melaleuca/,page_error_or_not_available,REIWA page did not return usable quick stats in this run; left as N/A rather than estimating.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
211,Melville,6156,16.0,1600000,20.7,905,https://reiwa.com.au/suburb/melville/,verified_REIWA_quick_stats,REIWA quick stats; rounded values converted from K/M display where applicable.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
212,Menora,6050,40.5,2470000,,,https://reiwa.com.au/suburb/menora/,verified_REIWA_quick_stats,REIWA quick stats showed insufficient/NA house rental data.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
213,Merriwa,6030,14.1,770000,7.7,700,https://reiwa.com.au/suburb/merriwa/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
214,Middle Swan,6056,24.4,740000,11.7,670,https://reiwa.com.au/suburb/middle-swan/,verified_REIWA_quick_stats,REIWA quick stats.,REIWA suburb quick stats. Sales data is annual up to latest completed month; rental data is year-on-year 3-month rolling up to latest completed month. Most pages accessed 21 May 2026 with 12 months ending Apr 2026; rows note exceptions.
